open_time,open,high,low,close,volume,close_time,quote_asset_volume
2025-01-07,0.4926,0.5072,0.4367,0.4726,166801823.0,2025-01-07 23:59:59.999,78795953.3476
2025-01-08,0.4727,0.4758,0.2824,0.3124,1214795684.0,2025-01-08 23:59:59.999,395835072.3595
2025-01-09,0.3123,0.37,0.2523,0.286,1292327329.0,2025-01-09 23:59:59.999,382959931.987
2025-01-10,0.2861,0.3811,0.2833,0.323,1201287552.0,2025-01-10 23:59:59.999,407264956.4744
2025-01-11,0.323,0.3263,0.2351,0.2479,1076974250.0,2025-01-11 23:59:59.999,285578072.7882
2025-01-12,0.2479,0.2913,0.2334,0.2398,1183829035.0,2025-01-12 23:59:59.999,314133377.2423
2025-01-13,0.2397,0.2492,0.1819,0.204,2069106451.0,2025-01-13 23:59:59.999,415295128.3028
2025-01-14,0.2039,0.2404,0.2028,0.2352,1230783068.0,2025-01-14 23:59:59.999,268326256.7551
2025-01-15,0.2351,0.236,0.1615,0.1943,2038496639.0,2025-01-15 23:59:59.999,382903706.4857
2025-01-16,0.1943,0.235,0.1667,0.1758,2249061628.0,2025-01-16 23:59:59.999,445968364.4337
2025-01-17,0.1757,0.1899,0.1651,0.1766,1420675726.0,2025-01-17 23:59:59.999,251895862.7815
2025-01-18,0.1766,0.1806,0.109,0.1314,2655345120.0,2025-01-18 23:59:59.999,354425544.4568
2025-01-19,0.1315,0.158,0.0952,0.1022,2467406047.0,2025-01-19 23:59:59.999,323445468.6547
2025-01-20,0.1023,0.1687,0.0904,0.154,2428996306.0,2025-01-20 23:59:59.999,292682496.6585
2025-01-21,0.1541,0.198,0.1404,0.156,3354958356.0,2025-01-21 23:59:59.999,539956323.9799
2025-01-22,0.1561,0.2433,0.1487,0.1698,2689478565.0,2025-01-22 23:59:59.999,540936210.4134
2025-01-23,0.1699,0.1837,0.1406,0.1409,2124480364.0,2025-01-23 23:59:59.999,332180933.4946
2025-01-24,0.1409,0.1421,0.1122,0.1149,1890108123.0,2025-01-24 23:59:59.999,241558232.3561
2025-01-25,0.1148,0.1194,0.1033,0.1114,1574575661.0,2025-01-25 23:59:59.999,177540983.0528
2025-01-26,0.1114,0.1189,0.0979,0.0988,1349031106.0,2025-01-26 23:59:59.999,146502312.5872
2025-01-27,0.0988,0.1018,0.0757,0.0893,2394591659.0,2025-01-27 23:59:59.999,202913381.8354
2025-01-28,0.0892,0.0921,0.0714,0.0733,1469458500.0,2025-01-28 23:59:59.999,121774862.5029
2025-01-29,0.0734,0.0817,0.0674,0.0713,1852019704.0,2025-01-29 23:59:59.999,137858652.7383
2025-01-30,0.0713,0.0782,0.0628,0.0635,1651582612.0,2025-01-30 23:59:59.999,118989327.0967
2025-01-31,0.0635,0.0706,0.0576,0.0605,2741474538.0,2025-01-31 23:59:59.999,172308479.6384
2025-02-01,0.0605,0.0684,0.05,0.0503,3284507994.0,2025-02-01 23:59:59.999,194854822.701
2025-02-02,0.0503,0.0617,0.045,0.05,3663560750.0,2025-02-02 23:59:59.999,196482981.5853
2025-02-03,0.0499,0.0659,0.0349,0.0648,4180718535.0,2025-02-03 23:59:59.999,202964625.4472
2025-02-04,0.0647,0.0694,0.0481,0.05,3132301075.0,2025-02-04 23:59:59.999,177676147.9296
2025-02-05,0.05,0.0532,0.0382,0.0387,2757681875.0,2025-02-05 23:59:59.999,126583404.5162
2025-02-06,0.0386,0.041,0.0324,0.0347,4457392232.0,2025-02-06 23:59:59.999,161702198.2423
2025-02-07,0.0348,0.0468,0.0338,0.0367,4412562641.0,2025-02-07 23:59:59.999,170711845.3866
2025-02-08,0.0367,0.0581,0.036,0.051,6876575929.0,2025-02-08 23:59:59.999,332793346.5268
2025-02-09,0.051,0.0548,0.0445,0.0519,3719112874.0,2025-02-09 23:59:59.999,183910011.8675
2025-02-10,0.052,0.0692,0.0478,0.0582,4744054674.0,2025-02-10 23:59:59.999,275939843.4572
2025-02-11,0.0582,0.0661,0.0519,0.0533,2733938080.0,2025-02-11 23:59:59.999,159961972.9359
2025-02-12,0.0533,0.0543,0.0408,0.0458,3391714377.0,2025-02-12 23:59:59.999,156983328.2279
2025-02-13,0.0457,0.048,0.0414,0.0442,2752887762.0,2025-02-13 23:59:59.999,120862419.0161
2025-02-14,0.0442,0.0466,0.037,0.0384,3120869840.0,2025-02-14 23:59:59.999,133064959.3627
2025-02-15,0.0384,0.0391,0.0328,0.037,2904136326.0,2025-02-15 23:59:59.999,104738518.3861
2025-02-16,0.037,0.0505,0.0362,0.0466,5706544018.0,2025-02-16 23:59:59.999,257866699.9536
2025-02-17,0.0465,0.0532,0.0388,0.0437,4293234434.0,2025-02-17 23:59:59.999,193372100.7132
2025-02-18,0.0437,0.0509,0.0417,0.0492,3781144652.0,2025-02-18 23:59:59.999,173301640.1195
2025-02-19,0.0493,0.0523,0.0422,0.0426,3304882267.0,2025-02-19 23:59:59.999,157431470.5277
2025-02-20,0.0426,0.0452,0.038,0.0442,3520405616.0,2025-02-20 23:59:59.999,144266907.3102
2025-02-21,0.0442,0.048,0.0406,0.0413,3307872386.0,2025-02-21 23:59:59.999,142451505.4758
2025-02-22,0.0413,0.0824,0.0401,0.072,4753652233.0,2025-02-22 23:59:59.999,281775171.3467
2025-02-23,0.072,0.0746,0.0492,0.0513,4786724084.0,2025-02-23 23:59:59.999,295356689.9928
2025-02-24,0.0513,0.0534,0.0453,0.0475,3117701524.0,2025-02-24 23:59:59.999,156155172.9583
2025-02-25,0.0475,0.0615,0.0444,0.0549,3504005603.0,2025-02-25 23:59:59.999,183567225.7285
2025-02-26,0.0548,0.0686,0.0547,0.0654,3121462992.0,2025-02-26 23:59:59.999,189760853.2561
2025-02-27,0.0655,0.071,0.0583,0.061,1844770790.0,2025-02-27 23:59:59.999,115529301.315
2025-02-28,0.061,0.0746,0.052,0.0658,2288208432.0,2025-02-28 23:59:59.999,141064398.847
2025-03-01,0.0657,0.0716,0.0536,0.0578,1122037806.0,2025-03-01 23:59:59.999,69353193.5188
2025-03-02,0.0579,0.0698,0.0543,0.0669,1575179567.0,2025-03-02 23:59:59.999,94772891.407
2025-03-03,0.0669,0.077,0.0597,0.0605,2069737805.0,2025-03-03 23:59:59.999,140133999.8003
2025-03-04,0.0604,0.0634,0.052,0.0536,1676361563.0,2025-03-04 23:59:59.999,95165197.1741
2025-03-05,0.0536,0.0565,0.0477,0.0514,1472605138.0,2025-03-05 23:59:59.999,77611680.4873
2025-03-06,0.0514,0.055,0.0471,0.0531,1443152173.0,2025-03-06 23:59:59.999,73826179.5782
2025-03-07,0.0531,0.0607,0.05,0.0558,2012293677.0,2025-03-07 23:59:59.999,110728274.8653
2025-03-08,0.0558,0.0583,0.0383,0.0402,1984799301.0,2025-03-08 23:59:59.999,93322326.7201
2025-03-09,0.0401,0.0424,0.0387,0.041,1829642670.0,2025-03-09 23:59:59.999,73929025.5098
2025-03-10,0.0409,0.0424,0.0356,0.0393,1762059408.0,2025-03-10 23:59:59.999,68499895.0097
2025-03-11,0.0394,0.0466,0.0378,0.0421,1931823580.0,2025-03-11 23:59:59.999,80566953.0407
2025-03-12,0.0421,0.0466,0.0382,0.0457,1411022140.0,2025-03-12 23:59:59.999,59293387.5392
2025-03-13,0.0456,0.048,0.0427,0.0434,1137960111.0,2025-03-13 23:59:59.999,51786775.8604
2025-03-14,0.0434,0.0503,0.0423,0.046,1426685391.0,2025-03-14 23:59:59.999,67160313.037
2025-03-15,0.046,0.0466,0.0415,0.0436,1099514396.0,2025-03-15 23:59:59.999,48440444.8742
2025-03-16,0.0437,0.0489,0.0432,0.0444,1495989697.0,2025-03-16 23:59:59.999,69007488.4637
2025-03-17,0.0444,0.048,0.0432,0.0461,1344947842.0,2025-03-17 23:59:59.999,61610992.466
2025-03-18,0.0462,0.0467,0.035,0.0358,1362626041.0,2025-03-18 23:59:59.999,53410772.4739
2025-03-19,0.0357,0.0427,0.0356,0.0417,1418430612.0,2025-03-19 23:59:59.999,55913203.5594
2025-03-20,0.0417,0.0435,0.0392,0.0401,871112805.0,2025-03-20 23:59:59.999,36067088.6442
