STAT_DATE,ETF_TYPE,SEC_CODE,NUM,SEC_NAME,TOT_VOL
2024-06-28,单市,510010,1,治理ETF,22352.44
2024-06-28,单市,510020,2,超大ETF,3824.8
2024-06-28,单市,510030,3,价值ETF,15972.98
2024-06-28,单市,510050,4,50ETF,4627596.68
2024-06-28,单市,510060,5,央企ETF,5495.92
2024-06-28,单市,510090,6,ESG建信,3108.11
2024-06-28,单市,510100,7,SZ50ETF,286261.99
2024-06-28,单市,510130,8,中盘ETF,5108.51
2024-06-28,单市,510150,9,消费ETF,174517.86
2024-06-28,单市,510160,10,产业升级,32205.74
2024-06-28,单市,510170,11,商品ETF,24091.48
2024-06-28,单市,510180,12,180ETF,581255.77
2024-06-28,单市,510190,13,上证50基,4215.08
2024-06-28,单市,510200,14,上证券商,7688.55
2024-06-28,单市,510210,15,综指ETF,1037919.26
2024-06-28,单市,510230,16,金融ETF,325280.8
2024-06-28,单市,510270,17,国企ETF,1483.21
2024-06-28,单市,510290,18,380ETF,9044.89
2024-06-28,跨市,510300,19,300ETF,6073968.77
2024-06-28,跨市,510310,20,HS300ETF,8165230.74
2024-06-28,跨市,510330,21,华夏300,2782824.98
2024-06-28,跨市,510350,22,工银300,114221.47
2024-06-28,跨市,510360,23,广发300,277738.12
2024-06-28,跨市,510370,24,兴业300,9625.81
2024-06-28,跨市,510380,25,国寿300,151580.24
2024-06-28,跨市,510390,26,平安300,14195
2024-06-28,单市,510410,27,资源ETF,45425.84
2024-06-28,跨市,510500,28,500ETF,1477376.86
2024-06-28,跨市,510510,29,广发500,190303.83
2024-06-28,跨市,510530,30,工银500,4647.94
2024-06-28,跨市,510550,31,方正500,1374.33
2024-06-28,跨市,510560,32,国寿500,13031.87
2024-06-28,跨市,510570,33,兴业500,2806.06
2024-06-28,跨市,510580,34,ZZ500ETF,411496.52
2024-06-28,跨市,510590,35,平安500,14478.61
2024-06-28,单市,510600,36,沪50ETF,1481.51
2024-06-28,单市,510630,37,消费30,24936.15
2024-06-28,单市,510650,38,金融行业,1795.25
2024-06-28,单市,510660,39,医药行业,4587.97
2024-06-28,单市,510680,40,万家50,6402.47
2024-06-28,单市,510710,41,上50ETF,18231.89
2024-06-28,单市,510720,42,红利国泰,32376.6
2024-06-28,单市,510760,43,上证ETF,223750.37
2024-06-28,单市,510770,44,G60创新,4561.07
2024-06-28,单市,510800,45,上证50,60157.6
2024-06-28,单市,510810,46,上海国企,879509.37
2024-06-28,单市,510850,47,工银上50,6349.89
2024-06-28,单市,510880,48,红利ETF,580967.57
2024-06-28,跨境,510900,49,H股ETF,1305902.19
2024-06-28,单市,510950,50,上证广发,11745
2024-06-28,单市,510980,51,上证综合,17079.8
2024-06-28,单市,510990,52,ESG180,5294.86
2024-06-28,单市,511010,53,国债ETF,1394.63
2024-06-28,单市,511020,54,活跃国债,1069.75
2024-06-28,单市,511030,55,公司债,106290.71
2024-06-28,单市,511060,56,5年地债,689.63
2024-06-28,单市,511090,57,30年国债,1738.81
2024-06-28,单市,511100,58,基准国债,192.05
2024-06-28,单市,511130,59,国债30年,1543.97
2024-06-28,单市,511180,60,上证转债,10005.97
2024-06-28,单市,511220,61,城投ETF,90768.14
2024-06-28,单市,511260,62,十年国债,1086.65
2024-06-28,单市,511270,63,10年地债,982.75
2024-06-28,单市,511360,64,短融ETF,25947.46
2024-06-28,单市,511380,65,转债ETF,109318.67
2024-06-28,单市,511520,66,政金债,17174.65
2024-06-28,单市,511580,67,政金债基,179.88
2024-06-28,跨市,512000,68,券商ETF,2679631.77
2024-06-28,跨市,512010,69,医药ETF,5239769.49
2024-06-28,跨市,512040,70,国信价值,239471.59
2024-06-28,跨市,512070,71,证券保险,923047.97
2024-06-28,跨市,512090,72,MSCI易基,30959.23
2024-06-28,跨市,512100,73,1000ETF,1215721.76
2024-06-28,跨市,512120,74,医药50,85024.19
2024-06-28,跨市,512150,75,A50ETF,4807.34
2024-06-28,跨市,512160,76,MSCI基金,28177.78
2024-06-28,跨市,512170,77,医疗ETF,7326982.05
2024-06-28,跨市,512180,78,建信MSCI,8604.8
2024-06-28,跨市,512190,79,之江凤凰,3351.84
2024-06-28,跨市,512200,80,地产ETF,998587.6
2024-06-28,跨市,512220,81,TMTETF,25046.76
2024-06-28,跨市,512260,82,500低波,5169.77
2024-06-28,跨市,512280,83,景顺MSCI,3800.57
2024-06-28,跨市,512290,84,生物医药,423582.07
2024-06-28,跨市,512330,85,信息ETF,56668.8
2024-06-28,跨市,512360,86,MSCI国际,5433.77
2024-06-28,跨市,512380,87,MSCI中国,12080.56
2024-06-28,跨市,512390,88,MSCI低波,18368.2
2024-06-28,跨市,512400,89,有色ETF,432503.9
2024-06-28,跨市,512480,90,半导体,2886700.36
2024-06-28,跨市,512500,91,中证500,454960.88
2024-06-28,跨市,512510,92,ETF500,39142.98
2024-06-28,跨市,512520,93,MSCIETF,7805.64
2024-06-28,跨市,512530,94,300红利,7050.2
2024-06-28,跨市,512550,95,A50基金,21290.6
2024-06-28,跨市,512560,96,中证军工,109912.7
2024-06-28,跨市,512570,97,中证证券,50380.61
2024-06-28,跨市,512580,98,环保ETF,148347.17
2024-06-28,跨市,512600,99,必选消费,51305.61
2024-06-28,跨市,512640,100,金融地产,3424.09
2024-06-28,跨市,512650,101,长三角,41094.16
2024-06-28,跨市,512660,102,军工ETF,891208
2024-06-28,跨市,512670,103,国防ETF,337865.26
2024-06-28,跨市,512680,104,军工基金,370173.01
2024-06-28,跨市,512690,105,酒ETF,1574745.02
2024-06-28,跨市,512700,106,银行基金,86858.1
2024-06-28,跨市,512710,107,军工龙头,814265.84
2024-06-28,跨市,512720,108,计算机,146345.34
