STAT_DATE,ETF_TYPE,SEC_CODE,NUM,SEC_NAME,TOT_VOL
2025-09-12,单市,510010,1,治理ETF,13452.44
2025-09-12,单市,510020,2,超大ETF,4084.8
2025-09-12,单市,510030,3,价值ETF,15472.98
2025-09-12,单市,510040,4,上证180E,4048
2025-09-12,单市,510050,5,50ETF,5816496.68
2025-09-12,单市,510060,6,央企ETF,4495.92
2025-09-12,单市,510090,7,ESG建信,2958.11
2025-09-12,单市,510100,8,SZ50ETF,145760.68
2025-09-12,单市,510130,9,中盘ETF,3668.51
2025-09-12,单市,510150,10,消费ETF,341317.86
2025-09-12,单市,510160,11,产业升级,24605.74
2025-09-12,单市,510170,12,商品ETF,18491.48
2025-09-12,单市,510180,13,180ETF,564705.77
2025-09-12,单市,510190,14,上证50基,3865.08
2025-09-12,单市,510200,15,上证券商,13288.55
2025-09-12,单市,510210,16,综指ETF,503619.26
2025-09-12,单市,510230,17,金融ETF,327080.8
2025-09-12,单市,510270,18,国企ETF,1383.21
2025-09-12,单市,510290,19,380ETF,7244.89
2025-09-12,跨市,510300,20,300ETF,9043338.77
2025-09-12,跨市,510310,21,HS300ETF,6713074.4
2025-09-12,跨市,510320,22,300中金,46906.85
2025-09-12,跨市,510330,23,华夏300,4747974.98
2025-09-12,跨市,510350,24,工银300,82361.47
2025-09-12,跨市,510360,25,广发300,305038.12
2025-09-12,跨市,510370,26,兴业300,14725.81
2025-09-12,跨市,510380,27,国寿300,132680.24
2025-09-12,跨市,510390,28,平安300,11045
2025-09-12,单市,510410,29,资源ETF,35725.84
2025-09-12,跨市,510500,30,500ETF,1883856.86
2025-09-12,跨市,510510,31,广发500,92703.83
2025-09-12,跨市,510530,32,工银500,4497.94
2025-09-12,跨市,510550,33,方正500,1374.33
2025-09-12,跨市,510560,34,国寿500,12231.87
2025-09-12,跨市,510570,35,兴业500,2306.06
2025-09-12,跨市,510580,36,ZZ500ETF,80776.83
2025-09-12,跨市,510590,37,平安500,7078.61
2025-09-12,单市,510600,38,沪50ETF,1211.51
2025-09-12,单市,510630,39,消费30,52136.15
2025-09-12,单市,510650,40,金融行业,945.25
2025-09-12,单市,510660,41,医药行业,3187.97
2025-09-12,单市,510680,42,万家50,3282.47
2025-09-12,单市,510710,43,上50ETF,12921.89
2025-09-12,单市,510720,44,红利国泰,294676.6
2025-09-12,单市,510760,45,上证ETF,184150.37
2025-09-12,单市,510770,46,G60创新,2311.07
2025-09-12,单市,510800,47,上证50,28157.6
2025-09-12,单市,510810,48,上海国企,907759.37
2025-09-12,单市,510850,49,工银上50,7069.89
2025-09-12,单市,510880,50,红利ETF,604917.57
2025-09-12,跨境,510900,51,H股ETF,743902.19
2025-09-12,单市,510950,52,上证广发,7695
2025-09-12,单市,510980,53,上证综合,28779.8
2025-09-12,单市,510990,54,ESG180,4694.86
2025-09-12,单市,511010,55,国债ETF,1737.63
2025-09-12,单市,511020,56,活跃国债,1288.75
2025-09-12,单市,511030,57,公司债,21525.07
2025-09-12,单市,511060,58,5年地债,932.63
2025-09-12,单市,511070,59,沪公司债,20993.1
2025-09-12,单市,511090,60,30年国债,26626.81
2025-09-12,单市,511100,61,基准国债,5175.05
2025-09-12,单市,511110,62,公司债易,21719.96
2025-09-12,单市,511120,63,科创债基,6626.06
2025-09-12,单市,511130,64,国债30年,18999.97
2025-09-12,单市,511160,65,国债东财,3483.09
2025-09-12,单市,511180,66,上证转债,82705.97
2025-09-12,单市,511190,67,信用债,14064.43
2025-09-12,单市,511200,68,信用债基,20051.75
2025-09-12,单市,511220,69,城投ETF,243768.14
2025-09-12,单市,511260,70,十年国债,11290.65
2025-09-12,单市,511270,71,10年地债,2362.75
2025-09-12,单市,511360,72,短融ETF,53471.06
2025-09-12,单市,511380,73,转债ETF,474918.67
2025-09-12,单市,511520,74,政金债,40309.65
2025-09-12,单市,511580,75,国债政金,227.68
2025-09-12,跨市,512000,76,券商ETF,5550303.54
2025-09-12,跨市,512010,77,医药ETF,4435669.49
2025-09-12,跨市,512020,78,A500,264801.27
2025-09-12,跨市,512030,79,A50增,3024
2025-09-12,跨市,512040,80,国信价值,152771.59
2025-09-12,跨市,512050,81,A500E,1495099.22
2025-09-12,跨市,512060,82,A100指基,2692.8
2025-09-12,跨市,512070,83,证券保险,1363247.97
2025-09-12,跨市,512080,84,A500中金,98318.61
2025-09-12,跨市,512090,85,MSCI易基,22559.23
2025-09-12,跨市,512100,86,1000ETF,2501521.76
2025-09-12,跨市,512120,87,医药50,77124.19
2025-09-12,跨市,512130,88,现金全指,2489.5
2025-09-12,跨市,512150,89,A50ETF,4907.34
2025-09-12,跨市,512160,90,MSCI基金,19777.78
2025-09-12,跨市,512170,91,医疗ETF,6965582.05
2025-09-12,跨市,512180,92,建信MSCI,5804.8
2025-09-12,跨市,512190,93,之江凤凰,2651.84
2025-09-12,跨市,512200,94,地产ETF,451909.79
2025-09-12,跨市,512220,95,TMTETF,20996.76
2025-09-12,跨市,512240,96,A50龙头,1418.6
2025-09-12,跨市,512250,97,A50指数E,560.01
2025-09-12,跨市,512260,98,500低波,3009.77
2025-09-12,跨市,512290,99,生物医药,291882.07
2025-09-12,跨市,512330,100,信息ETF,44218.8
2025-09-12,跨市,512360,101,MSCI国际,3633.77
2025-09-12,跨市,512370,102,A500增指,10131.3
2025-09-12,跨市,512380,103,MSCI中国,8180.56
2025-09-12,跨市,512390,104,MSCI低波,16568.2
2025-09-12,跨市,512400,105,有色ETF,758753.9
2025-09-12,跨市,512480,106,半导体,1490500.36
2025-09-12,跨市,512500,107,中证500,415200.88
2025-09-12,跨市,512510,108,ETF500,47842.98
2025-09-12,跨市,512520,109,MSCIETF,5705.64
2025-09-12,跨市,512530,110,300红利,12750.2
2025-09-12,跨市,512550,111,A50基金,15790.6
2025-09-12,跨市,512560,112,中证军工,89112.7
2025-09-12,跨市,512570,113,中证证券,138180.61
2025-09-12,跨市,512580,114,环保ETF,109467.17
2025-09-12,跨市,512600,115,必选消费,98885.61
2025-09-12,跨市,512640,116,金融地产,2574.09
2025-09-12,跨市,512650,117,长三角,28694.16
2025-09-12,跨市,512660,118,军工ETF,1077708
2025-09-12,跨市,512670,119,国防ETF,747565.26
2025-09-12,跨市,512680,120,军工基金,614173.01
2025-09-12,跨市,512690,121,酒ETF,3183595.02
2025-09-12,跨市,512700,122,银行基金,108058.1
2025-09-12,跨市,512710,123,军工龙头,1985065.84
2025-09-12,跨市,512720,124,计算机,114745.34
2025-09-12,跨市,512730,125,银行FUND,7058.39
2025-09-12,跨市,512750,126,基本面50,5735.49
2025-09-12,跨市,512760,127,芯片ETF,657992.28
2025-09-12,跨市,512770,128,战略新兴,14576.78
2025-09-12,跨市,512800,129,银行ETF,1750167.99
2025-09-12,跨市,512810,130,国防军工,168358.35
2025-09-12,跨市,512820,131,银行股基,69880.19
2025-09-12,跨市,512870,132,杭州湾区,2841.06
